77421,Saint-Mars-Vieux-Maisons,20030.2
77423,Saint-Martin-des-Champs,20770.8
77424,Saint-Martin-du-Boschet,20373
77425,Saint-Martin-en-Bière,29905.5
77426,Saint-Méry,25353.3
77427,Saint-Mesmes,25909
77428,Saint-Ouen-en-Brie,25256.2
77429,Saint-Ouen-sur-Morin,21665.3
77430,Saint-Pathus,24657.3
77431,Saint-Pierre-lès-Nemours,22305.2
77432,Saint-Rémy-la-Vanne,22840
77433,Saints,23686.5
77434,Saint-Sauveur-lès-Bray,23244.8
77435,Saint-Sauveur-sur-École,31244.7
77436,Saint-Siméon,23085.8
77437,Saint-Soupplets,22766.5
77438,Saint-Thibault-des-Vignes,24867.2
77439,Salins,22079.2
77440,Sammeron,22224.3
77441,Samois-sur-Seine,29528.8
77442,Samoreau,26302.9
77443,Sancy,24796.9
77444,Sancy-lès-Provins,22010.6
77445,Savigny-le-Temple,20130.8
77446,Savins,21614.7
77447,Seine-Port,30527.2
77448,Sept-Sorts,23015.8
77449,Serris,22831.4
77450,Servon,27590.7
77451,Signy-Signets,22868.4
77452,Sigy,
77453,Sivry-Courtry,25223.8
77454,Sognolles-en-Montois,22023.3
77455,Soignolles-en-Brie,25189.1
77456,Soisy-Bouy,21656
77457,Solers,24659.6
77458,Souppes-sur-Loing,18890.6
77459,Sourdun,20490
77460,Tancrou,23602.8
77461,Thénisy,23476.9
77462,Thieux,21463.3
77463,Thomery,26087.2
77464,Thorigny-sur-Marne,23559
77465,Thoury-Férottes,22629.7
77466,Tigeaux,26046.5
77467,La Tombe,22038
77468,Torcy,19536.3
77469,Touquin,22402.7
77470,Tournan-en-Brie,22970
77471,Tousson,23903.2
77472,La Trétoire,21685.4
77473,Treuzy-Levelay,24886.8
77474,Trilbardou,23116.2
77475,Trilport,23397.4
77476,Trocy-en-Multien,24795.6
77477,Ury,25219
77478,Ussy-sur-Marne,22220
77479,Vaires-sur-Marne,23601
77480,Valence-en-Brie,21343.1
77481,Vanvillé,23963
77482,Varennes-sur-Seine,19386.7
77483,Varreddes,23897.2
77484,Vaucourtois,24583.5
77485,Le Vaudoué,27007.5
77486,Vaudoy-en-Brie,23503.5
77487,Vaux-le-Pénil,25017.6
77489,Vaux-sur-Lunain,23361
77490,Vendrest,20701.4
77491,Veneux-les-Sablons,24965.3
77492,Verdelot,21499.4
77493,Verneuil-l'Étang,21877.3
77494,Vernou-la-Celle-sur-Seine,23870
77495,Vert-Saint-Denis,24187.1
77496,Vieux-Champagne,24493.3
77498,Vignely,25478.1
77500,Villebéon,21411.9
77501,Villecerf,24563.5
77504,Villemaréchal,24222
77505,Villemareuil,23966.1
77506,Villemer,24018.6
77507,Villenauxe-la-Petite,19796.1
77508,Villeneuve-le-Comte,24499
77509,Villeneuve-les-Bordes,22207.7
77510,Villeneuve-Saint-Denis,26253.2
77511,Villeneuve-sous-Dammartin,20487.1
77512,Villeneuve-sur-Bellot,19704.3
77513,Villenoy,22416.5
77514,Villeparisis,20773.3
77515,Villeroy,24140
77516,Ville-Saint-Jacques,23511
77517,Villevaudé,24997.5
77518,Villiers-en-Bière,29595.2
77519,Villiers-Saint-Georges,19586
77520,Villiers-sous-Grez,25899.6
77521,Villiers-sur-Morin,24776.8
77522,Villiers-sur-Seine,20099
77523,Villuis,21578.3
77524,Vimpelles,22326.3
77525,Vinantes,24968.1
77526,Vincy-Manoeuvre,23746
77527,Voinsles,24602.4
77528,Voisenon,26836.8
77529,Voulangis,26174.8
77530,Voulton,23276
77531,Voulx,20073
77532,Vulaines-lès-Provins,
77533,Vulaines-sur-Seine,28101.5
77534,Yèbles,24684.5
78003,Ablis,24186.7
78005,Achères,21371.4
78006,Adainville,27776.7
78007,Aigremont,38090.5
78009,Allainville,22031
78010,Les Alluets-le-Roi,33296.5
78013,Andelu,29132.4
78015,Andrésy,27467.2
78020,Arnouville-lès-Mantes,27313.3
78029,Aubergenville,20734.5
78030,Auffargis,30834.4
78031,Auffreville-Brasseuil,26526.1
78033,Aulnay-sur-Mauldre,26447
78034,Auteuil,30910.5
78036,Autouillet,32978.7
78043,Bailly,35200.9
78048,Bazainville,28367.6
78049,Bazemont,31247.1
78050,Bazoches-sur-Guyonne,33180.5
78053,Béhoust,31370.7
78057,Bennecourt,23185.7
78062,Beynes,27281.9
78068,Blaru,24321.9
78070,Boinville-en-Mantois,26701.7
78071,Boinville-le-Gaillard,24954.5
78072,Boinvilliers,29784
78073,Bois-d'Arcy,25468.7
78076,Boissets,25240.5
78077,La Boissière-École,25285.6
78082,Boissy-Mauvoisin,23608.7
78084,Boissy-sans-Avoir,28752
78087,Bonnelles,27839.3
78089,Bonnières-sur-Seine,19710.2
78090,Bouafle,25560
78092,Bougival,30187
78096,Bourdonné,29027.2
78104,Breuil-Bois-Robert,26555.3
78107,Bréval,24497.6
78108,Les Bréviaires,29152.7
78113,Brueil-en-Vexin,24597.6
78117,Buc,32146
78118,Buchelay,22387.5
78120,Bullion,30398.3
78123,Carrières-sous-Poissy,19671.9
78124,Carrières-sur-Seine,28546.2
78125,La Celle-les-Bordes,32328.8
78126,La Celle-Saint-Cloud,28156
78128,Cernay-la-Ville,31948.1
78133,Chambourcy,30831
78138,Chanteloup-les-Vignes,17257.2
78140,Chapet,31425.6
78143,Châteaufort,33478.4
78146,Chatou,30438.8
78147,Chaufour-lès-Bonnières,23987.3
78152,Chavenay,37164.7
78158,Le Chesnay,30957.2
78160,Chevreuse,30212.8
78162,Choisel,30864
78163,Civry-la-Forêt,28139.3
78164,Clairefontaine-en-Yvelines,32417.7
78165,Les Clayes-sous-Bois,23753.3
78168,Coignières,21490
78171,Condé-sur-Vesgre,27011.7
78172,Conflans-Sainte-Honorine,24418.5
