OBJECTID,N_SQ_EP,L_EP_MAJ,L_EP_MIN,C_CAINSEE,C_POSTAL,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,C_NIV1,C_NIV2,C_NIV3,B_PUBLIC,C_GESTION,D_ANNEE_CR,B_SITE,B_MONUMENT,B_LOGISTIQ,L_INF_COMP,LIB_QL1,VAL_QL1,LIB_QL2,VAL_QL2,LIB_QL3,VAL_QL3,LIB_QN1,VAL_QN1,LIB_QN2,VAL_QN2,LIB_QN3,VAL_QN3,N_SQ_CO,N_SQ_AR,N_SQ_EE,B_LOCAL,B_TERRITOR,B_METROPOL,C_MET,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,N_SQ_IR
6,753002584,"BAUDELIRE","Baudélire",75118,75008,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,151,15113,"N","A",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000018,750004872,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:53.000Z",750004041
7,753003149,"SQUARE","Square",75118,75018,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,151,15112,"NULL","NULL",0,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000018,750004892,"NULL","NULL","NULL","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:25:50.000Z",750004110
8,943005546,"SQUARE BOUCICAUT","Square Boucicaut",75115,75105,7,"NULL","NULL","NULL","ALLEE","NULL","ISADORA DUNCAN",15,151,15112,"O","M",1870,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000015,750001934,"O","N","N","NULL","BEAUREGA","2016-12-20T16:04:30.000Z","BEAUREGA","2017-05-03T16:36:52.000Z",750004767
9,943006189,"PARC JACQUES DUCLOS","Parc Jacques Duclos",94074,94460,0,"NULL","NULL","NULL","RUE","DU","COLONEL FABIEN",15,151,15112,"NULL","NULL",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",940000127,0,940003244,"O","O","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T15:35:30.000Z",940001637
10,753003385,"JARDIN LUQUET","Jardin Luquet",75120,75020,0,"NULL","NULL","NULL","RUE","NULL","PIAT",15,151,15113,"N","A",1972,"NULL","NULL","NULL","NULL","37","O","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000020,750005171,"N","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:30:22.000Z",750004277
11,933006369,"PARC JOUSSEAUME","Parc Jousseaume",93047,93370,0,"NULL","NULL","NULL","RUE","DES","MOULINS",15,151,15112,"NULL","NULL",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",930000081,0,930004953,"O","O","O","NULL","NULL","NULL","BEAUREGA","2017-05-03T15:35:32.000Z",930000896
12,943005547,"JARDIN DU GYMNASE ALICE MILLIAT","Jardin du Gymnase Alice Milliat",75114,75014,11,"NULL","NULL","NULL","RUE","D'","ALESIA",15,151,15112,"O","M",2006,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000014,750001726,"N","N","N","NULL","BEAUREGA","2017-05-03T12:25:49.000Z","BEAUREGA","2017-05-03T16:25:48.000Z",750004833
13,753002586,"L'UNIVERT","L'Univert",75118,75008,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,151,15113,"N","A",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000018,750004873,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:54.000Z",750003976
14,923005434,"PROMENADE JACQUES BAUMEL","Promenade Jacques Baumel",92063,92500,0,"NULL","NULL","NULL","RUE","DES","TALUS",15,151,15112,"NULL","NULL",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",920000032,0,0,"N","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T15:35:33.000Z",920000525
15,943006185,"PARC DE LA COLLINE CACAO","Parc de la Colline Cacao",94065,94150,0,"NULL","NULL","NULL","RUE","DU","MARCHE",15,151,15112,"NULL","NULL",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",940000133,0,0,"N","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T15:35:31.000Z",940003150
16,753001513,"JARDIN PARTAGÉ DE LA FOLIE TITON","Jardin Partagé de la Folie Titon",75111,75011,17,"NULL","NULL","NULL","RUE","NULL","TITON",15,151,15113,"N","A",2007,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000011,750001094,"N","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:25:54.000Z",750004615
17,943005618,"JARDIN DE L'HÔTEL SAINT-AIGNAN","Jardin de l'Hôtel Saint-Aignan",75103,75003,16,"NULL","NULL","NULL","IMPASSE","NULL","BERTHAUD",15,151,15112,"O","M",1987,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000003,750000131,"N","N","N","NULL","BEAUREGA","2017-05-03T15:46:53.000Z","BEAUREGA","2017-05-03T16:26:02.000Z",750004475
18,943005619,"JARDIN YACINE KATEB","Jardin Yacine Kateb",75113,75013,122,"NULL","NULL","NULL","BOULEVARD","DE L'","HOPITAL",15,151,15112,"O","A",2000,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000013,0,"N","N","N","NULL","BEAUREGA","2017-05-03T12:47:06.000Z","BEAUREGA","2017-05-03T16:26:01.000Z",750004449
19,753002430,"PARC DE PASSY","Parc de Passy",75116,75016,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,151,15112,"O","M",0,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000016,750002264,"O","O","O","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:25:55.000Z",750004528
20,753001514,"ALIGRESSE - SQUARE LÉO FERRÉ","Aligresse - Square Léo Ferré",75112,75012,5,"NULL","NULL","NULL","IMPASSE","NULL","DRUINOT",15,151,15113,"N","A",2007,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000012,750001260,"N","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:25:55.000Z",750004652
21,753002735,"SQUARE DU QUAI DE LA LOIRE","Square du Quai de la Loire",75119,75019,0,"NULL","NULL","NULL","QUAI","DE LA","LOIRE",15,151,15112,"O","M",1989,"NULL","NULL","NULL","NULL","37","O","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000019,750005231,"NULL","NULL","NULL","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:30:22.000Z",750004096
22,753001535,"JARDIN PARTAGÉ DE LA POTERNE DES PEUPLIERS","Jardin Partagé de la poterne des Peupliers",75113,75013,1,"NULL","NULL","NULL","RUE","NULL","GOUTHIERE",15,151,15113,"N","A",1973,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000013,750001440,"N","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:26:02.000Z",750004900
23,753002821,"PARC DE BERCY - JARDIN YITZHAK RABIN","Parc de Bercy - Jardin Yitzhak Rabin",75112,75012,16,"NULL","NULL","NULL","RUE","NULL","JOSEPH KESSEL",15,151,15112,"O","M",1997,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000012,750004042,"O","O","O","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:25:53.000Z",750004887
