36,752003438,BIBLIOTHÈQUE UNIVERSITAIRE DE LITTERATURE GÉNÉRALE ET COMPARÉE,Bibliothèque Universitaire de Litterature Générale et Comparée,75105,75005,17,NULL,NULL,NULL,Rue,NULL,SORBONNE,Culture et Loisirs,Mémoire et documentation,Bibliothèque universitaire et de recherche scientifique,Oui,Etat,NULL,NULL,NULL,Catégorie bibliothèque,4,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000005,750000355
37,933002266,THÉATRE DES LOGES,Théatre des Loges,93055,93500,49,NULL,NULL,NULL,Rue,NULL,SEPT ARPENTS,Culture et Loisirs,"Exposition, spectacles culturels",Théâtre,NULL,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,NULL,NULL,NULL,NULL,Capacité d'acceuil,NULL,NULL,NULL,NULL,NULL,930000080,0,0
38,950000047,SALLE ANDRE MALRAUX,Salle André Malraux,95585,95200,0,NULL,NULL,NULL,Rue,NULL,TAILLEPIED,Culture et Loisirs,"Exposition, spectacles culturels",Salle de concert/spectacle,NULL,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,NULL,NULL,NULL,NULL,Capacité d'acceuil,NULL,NULL,NULL,NULL,NULL,950001471,0,0
39,752002476,CENTRE ELÉMENTAIRE,Centre Elémentaire,75113,75013,173,NULL,NULL,NULL,Rue,NULL,CHATEAU DES RENTIERS,Culture et Loisirs,"Apprentissage, Pratique amateur",Ecole centre de loisirs,Oui,Municipalité/Commune,NULL,NULL,NULL,Catégorie centre de loisirs,2,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000013,750004129
40,923005959,HOTEL DES METIERS D'ART,Hôtel des Métiers d'Art,92022,92370,23,NULL,NULL,NULL,Rue,NULL,CARNOT,Culture et Loisirs,"Apprentissage, Pratique amateur",Atelier d'artistes,NULL,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,920000047,0,920002496
41,943006251,OFFICE DU TOURISME,Office du Tourisme,94015,94360,2,NULL,NULL,NULL,Grande Rue,NULL,NULL,Culture et Loisirs,"Information, Pratique et animation culturelle",Office du tourisme,NULL,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,940000193,0,940009510
42,943005499,SWING ROMANE ACADEMY,Swing Romane Academy,75109,75009,11,NULL,NULL,NULL,Rue,NULL,MANSART,Culture et Loisirs,"Apprentissage, Pratique amateur","Ecoles de musique, Ecole de danse",NULL,NULL,NULL,NULL,NULL,Catégorie centre de loisirs,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000009,0
43,923002896,BIBLIOTHÈQUE POUR TOUS,Bibliothèque pour Tous,92076,92420,0,NULL,NULL,NULL,Impasse,NULL,LAVOIR,Culture et Loisirs,Mémoire et documentation,"Bibliothèque, Discothèque, Vidéothèque, Médiathèque",NULL,NULL,NULL,NULL,NULL,Catégorie bibliothèque,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,920000038,0,0
44,752002510,CENTRE MATERNEL,Centre Maternel,75113,75013,17,NULL,NULL,NULL,Rue,NULL,POINTE D'IVRY,Culture et Loisirs,"Apprentissage, Pratique amateur",Ecole centre de loisirs,Oui,Municipalité/Commune,NULL,NULL,NULL,Catégorie centre de loisirs,1,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000013,750001587
45,943001665,L'ESPACE CULTUREL DISPAN DE FLORAN,l'espace Culturel Dispan de Floran,94038,94240,11,NULL,NULL,NULL,Rue,NULL,JARDINS,Culture et Loisirs,"Exposition, spectacles culturels",Salle de concert/spectacle,NULL,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,940000142,0,940009869
